MSSubClass,MSZoning,LotFrontage,LotArea,Alley,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
20,RL,NA,9819,NA,5,5,1967,1967,31,TA,450,0,432,882,TA,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1970,1,280,0,0,0,0,0,0,NA,MnPrv,NA,0,2,2010,122000
70,RL,60,8730,NA,6,7,1915,2003,0,TA,0,0,698,698,Ex,Y,FuseA,698,698,0,1396,0,0,1,0,3,1,TA,7,Typ,0,NA,Detchd,2003,1,384,0,0,0,0,259,0,NA,NA,NA,0,7,2007,153575
60,RL,120,15611,NA,8,5,2006,2006,0,Gd,0,0,1079,1079,Ex,Y,SBrkr,1079,840,0,1919,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006,2,685,0,51,0,0,0,0,NA,NA,NA,0,7,2006,233230
190,RL,55,5687,Grvl,5,6,1912,2000,0,TA,210,0,570,780,Ex,N,SBrkr,936,780,0,1716,1,0,2,0,6,1,Fa,9,Typ,0,NA,NA,NA,0,0,0,184,0,0,0,0,NA,NA,NA,0,3,2008,135900
50,RL,60,11409,NA,5,4,1949,2008,0,TA,292,0,476,768,Gd,Y,SBrkr,1148,568,0,1716,0,0,1,1,3,1,TA,8,Min2,1,Gd,Attchd,1949,1,281,0,0,0,0,160,0,NA,NA,NA,0,1,2009,131000
60,RL,NA,16659,NA,7,7,1977,1994,34,TA,795,0,0,795,Fa,Y,SBrkr,1468,795,0,2263,1,0,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1977,2,539,0,250,0,0,0,0,NA,NA,NA,0,3,2006,235000
20,RL,80,9600,NA,6,5,1953,1953,238,TA,1285,0,131,1416,TA,Y,SBrkr,1644,0,0,1644,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1953,2,418,110,0,0,0,0,0,NA,NA,NA,0,10,2009,167000
80,RL,37,7937,NA,6,6,1984,1984,0,TA,819,0,184,1003,TA,Y,SBrkr,1003,0,0,1003,1,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1984,2,588,120,0,0,0,0,0,NA,GdPrv,NA,0,3,2006,142500
50,RM,75,13710,NA,5,5,1950,1950,0,TA,420,0,490,910,TA,Y,FuseA,910,648,0,1558,0,0,1,1,4,1,TA,6,Typ,0,NA,Attchd,1950,1,282,289,0,0,0,0,0,NA,MnPrv,NA,0,6,2007,152000
60,FV,66,7399,Pave,7,5,1997,1998,1600,Gd,649,0,326,975,Ex,Y,SBrkr,975,975,0,1950,0,0,2,1,3,1,Gd,7,Typ,1,TA,Detchd,1997,2,576,0,10,0,0,198,0,NA,NA,NA,0,6,2007,239000
60,RL,90,11700,NA,6,6,1968,1968,365,Gd,384,175,143,702,Gd,Y,SBrkr,1041,702,0,1743,0,1,1,2,3,1,TA,7,Typ,1,Gd,Attchd,1968,2,539,224,0,0,0,0,0,NA,NA,NA,0,6,2007,175000
20,RL,80,14000,NA,6,8,1950,2004,0,TA,0,0,1092,1092,Ex,Y,SBrkr,1152,0,0,1152,0,1,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1950,1,300,0,36,0,0,0,0,NA,GdPrv,NA,0,8,2009,158500
190,RL,90,15750,NA,5,5,1953,1953,56,TA,841,0,324,1165,TA,Y,SBrkr,1336,0,0,1336,1,0,1,0,2,1,TA,5,Typ,2,Gd,Attchd,1953,1,375,0,0,0,0,0,0,NA,NA,NA,0,6,2006,157000
60,RL,66,16226,NA,8,5,1998,1999,0,Gd,281,0,747,1028,Ex,Y,SBrkr,1210,1242,0,2452,0,0,2,1,4,1,Gd,9,Typ,1,TA,BuiltIn,1998,2,683,208,50,0,0,0,0,NA,NA,NA,0,5,2007,267000
20,RL,118,13704,NA,7,5,2001,2002,150,Gd,0,0,1541,1541,Ex,Y,SBrkr,1541,0,0,1541,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001,3,843,468,81,0,0,0,0,NA,NA,NA,0,1,2006,205000
20,RL,70,9800,NA,5,7,1972,1972,0,TA,894,0,0,894,TA,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1975,2,552,256,0,0,0,0,0,NA,GdWo,NA,0,7,2006,149900
75,RM,87,18386,NA,7,9,1880,2002,0,TA,0,0,1470,1470,Ex,Y,SBrkr,1675,1818,0,3493,0,0,3,0,3,1,Gd,10,Typ,1,Ex,Attchd,2003,3,870,302,0,0,0,0,0,NA,NA,NA,0,5,2008,295000
20,RL,80,10386,NA,8,5,2004,2005,246,Gd,1464,0,536,2000,Ex,Y,SBrkr,2000,0,0,2000,1,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,2004,3,888,168,0,0,0,0,0,NA,NA,NA,0,7,2007,305900
60,RL,116,13474,NA,7,5,1990,1991,246,Gd,700,0,0,700,Gd,Y,SBrkr,1122,1121,0,2243,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1990,3,746,127,44,224,0,0,0,NA,NA,NA,0,6,2007,225000
50,RM,NA,7920,Grvl,6,7,1920,1950,0,TA,0,0,319,319,TA,Y,FuseA,1035,371,0,1406,0,0,1,0,3,1,Fa,6,Typ,0,NA,NA,NA,0,0,0,144,0,0,0,0,NA,MnPrv,NA,0,3,2008,89500
30,RL,NA,12342,NA,4,5,1940,1950,0,TA,262,0,599,861,Ex,Y,SBrkr,861,0,0,861,0,0,1,0,1,1,TA,4,Typ,0,NA,Detchd,1961,2,539,158,0,0,0,0,0,NA,NA,NA,0,3,2009,82500
20,RL,90,12378,NA,9,5,2003,2004,0,Gd,1274,0,622,1896,Ex,Y,SBrkr,1944,0,0,1944,1,0,2,0,3,1,Ex,8,Typ,3,Ex,Attchd,2003,3,708,208,175,0,0,0,0,NA,NA,NA,0,11,2006,360000
60,RL,NA,7685,NA,6,5,1993,1994,112,TA,518,0,179,697,Gd,Y,SBrkr,697,804,0,1501,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1993,2,420,190,63,0,0,0,0,NA,NA,NA,0,5,2006,165600
20,RL,50,8000,NA,6,6,1948,2002,0,TA,680,0,292,972,Ex,Y,SBrkr,972,0,0,972,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948,1,240,0,0,0,0,0,0,NA,NA,NA,0,5,2009,132000
190,RM,65,7800,NA,5,7,1939,1950,0,TA,507,0,286,793,TA,Y,SBrkr,793,325,0,1118,1,0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1939,2,410,0,0,0,0,271,0,NA,MnPrv,NA,0,5,2006,119900
20,RL,150,215245,NA,7,5,1965,1965,0,TA,1236,820,80,2136,TA,Y,SBrkr,2036,0,0,2036,2,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1965,2,513,0,0,0,0,0,0,NA,NA,NA,0,6,2009,375000
70,RM,60,9600,Grvl,7,7,1925,1990,0,TA,16,0,712,728,Ex,Y,SBrkr,832,809,0,1641,0,1,1,1,3,1,Ex,6,Typ,1,Gd,Detchd,1925,2,546,0,0,234,0,0,0,NA,NA,NA,0,8,2006,178000
60,RL,71,7795,NA,7,5,2004,2005,0,Gd,425,0,291,716,Ex,Y,SBrkr,716,716,0,1432,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2004,2,432,100,51,0,0,0,0,NA,NA,NA,0,7,2009,188500
60,RL,94,13005,NA,7,7,1980,1980,278,Gd,692,0,153,845,TA,Y,SBrkr,1153,1200,0,2353,1,0,2,1,4,1,Ex,10,Typ,1,TA,Attchd,1983,2,484,288,195,0,0,0,0,NA,GdPrv,NA,0,8,2009,260000
60,FV,75,9000,NA,8,5,2006,2006,0,Gd,0,0,1088,1088,Ex,Y,SBrkr,1088,871,0,1959,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006,3,1025,208,46,0,0,0,0,NA,NA,NA,0,12,2007,270000
60,RL,90,9900,NA,7,5,1993,1993,256,Gd,987,0,360,1347,Ex,Y,SBrkr,1372,1274,0,2646,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993,3,656,340,60,144,0,0,0,NA,NA,NA,0,4,2009,260000
80,RL,NA,14115,NA,7,5,1980,1980,225,TA,1036,0,336,1372,TA,Y,SBrkr,1472,0,0,1472,1,0,2,0,3,1,TA,6,Typ,2,TA,Attchd,1980,2,588,233,48,0,0,0,0,NA,NA,NA,0,6,2009,187500
60,RL,111,16259,NA,9,5,2006,2006,370,TA,0,0,1249,1249,Ex,Y,SBrkr,1249,1347,0,2596,0,0,3,1,4,1,Gd,9,Typ,0,NA,Attchd,2006,3,840,240,154,0,0,0,0,NA,NA,NA,0,9,2006,342643
60,RL,99,12099,NA,8,5,2004,2004,388,Gd,970,0,166,1136,Ex,Y,SBrkr,1136,1332,0,2468,1,0,2,1,4,1,Gd,10,Typ,1,Gd,BuiltIn,2004,3,872,184,154,0,0,0,0,NA,NA,NA,0,6,2007,354000
60,RL,86,10380,NA,7,5,1986,1987,172,Gd,28,1474,0,1502,Ex,Y,SBrkr,1553,1177,0,2730,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1987,2,576,201,96,0,0,0,0,NA,MnPrv,NA,0,8,2007,301000
20,RM,49,5820,NA,3,8,1955,2005,0,TA,256,0,906,1162,Ex,Y,SBrkr,1163,0,0,1163,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1955,1,220,142,98,0,0,0,0,NA,NA,NA,0,7,2006,126175
80,RL,96,11275,NA,7,7,1967,2007,300,Gd,0,0,710,710,Ex,Y,SBrkr,1898,1080,0,2978,0,0,2,1,5,1,Gd,11,Typ,1,Gd,BuiltIn,1961,2,564,240,0,0,0,0,0,NA,NA,NA,0,6,2010,242000
45,RM,50,5000,NA,5,6,1941,1950,0,TA,116,0,604,720,Po,N,FuseF,803,0,0,803,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1941,2,360,0,0,244,0,0,0,NA,NA,NA,0,12,2007,87000
120,RL,32,10846,NA,8,5,1993,1993,0,Gd,1619,0,100,1719,Ex,Y,SBrkr,1719,0,0,1719,2,0,1,1,1,1,Gd,6,Typ,2,Gd,Attchd,1993,2,473,122,30,0,0,0,0,NA,NA,NA,0,5,2008,324000
20,RL,80,11600,NA,6,5,1960,1960,175,TA,565,0,818,1383,TA,Y,SBrkr,1383,0,0,1383,0,0,1,1,3,1,TA,7,Typ,0,NA,Attchd,1960,1,292,0,45,0,0,0,0,NA,NA,NA,0,4,2006,145250
75,RL,NA,11888,Pave,6,6,1916,1994,0,TA,0,0,844,844,Gd,N,FuseA,1445,689,0,2134,0,0,2,0,5,1,Gd,10,Typ,0,NA,Detchd,1930,2,441,0,60,268,0,0,0,NA,NA,NA,0,7,2009,214500
70,RM,60,6402,NA,5,5,1920,1950,0,TA,0,0,596,596,TA,N,SBrkr,596,596,0,1192,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,1,189,0,0,137,0,0,0,NA,GdWo,NA,0,7,2009,78000
90,RL,NA,10624,NA,5,4,1964,1964,84,TA,40,264,1424,1728,TA,Y,SBrkr,1728,0,0,1728,0,1,2,0,6,2,TA,10,Typ,0,NA,Detchd,2002,1,352,155,0,0,0,0,0,NA,NA,NA,0,11,2007,119000
20,RL,70,8176,NA,5,6,1958,1992,0,TA,846,0,210,1056,Fa,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1958,1,308,0,0,0,0,0,0,NA,NA,NA,0,8,2007,139000
20,RL,85,10655,NA,8,5,2003,2004,296,Gd,1124,479,1603,3206,Ex,Y,SBrkr,1629,0,0,1629,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2003,3,880,0,0,0,0,0,0,NA,NA,NA,0,10,2009,284000
120,RM,59,8198,NA,7,5,2004,2004,146,Gd,720,0,638,1358,Ex,Y,SBrkr,1358,0,0,1358,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004,2,484,192,30,0,0,0,0,NA,NA,NA,0,7,2008,207000
60,RL,59,9042,NA,6,5,1998,1998,0,TA,828,0,115,943,Gd,Y,SBrkr,943,695,0,1638,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1998,2,472,100,38,0,0,0,0,NA,NA,NA,0,7,2008,192000
190,RL,NA,164660,NA,5,6,1965,1965,0,TA,1249,147,103,1499,Ex,Y,SBrkr,1619,167,0,1786,2,0,2,0,3,1,TA,7,Typ,2,Gd,Attchd,1965,2,529,670,0,0,0,0,0,NA,NA,Shed,700,8,2008,228950
20,RL,86,14157,NA,9,5,2005,2006,200,Gd,1249,0,673,1922,Ex,Y,SBrkr,1922,0,0,1922,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2005,3,676,178,51,0,0,0,0,NA,NA,NA,0,7,2007,377426
20,RL,70,9135,NA,7,5,2002,2003,113,Gd,810,0,726,1536,Ex,Y,SBrkr,1536,0,0,1536,1,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2002,2,532,192,74,0,0,0,0,NA,NA,NA,0,12,2008,214000
20,RL,91,14145,NA,7,7,1984,1998,0,Gd,213,0,995,1208,Ex,Y,SBrkr,1621,0,0,1621,1,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,1984,2,440,108,45,0,0,0,0,NA,NA,Shed,400,5,2006,202500
20,RL,66,12400,NA,6,7,1958,1998,176,TA,585,0,630,1215,TA,Y,FuseA,1215,0,0,1215,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1958,1,297,0,0,0,0,234,0,NA,NA,NA,0,6,2009,155000
60,RL,85,14191,NA,8,5,2002,2002,0,Gd,0,0,967,967,Ex,Y,SBrkr,993,915,0,1908,0,0,2,1,4,1,Gd,9,Typ,0,NA,Attchd,2002,2,431,135,0,0,0,0,0,NA,NA,NA,0,4,2010,202900
20,RH,60,8400,NA,4,4,1950,1950,0,Fa,0,0,721,721,Gd,Y,SBrkr,841,0,0,841,0,0,1,0,2,1,TA,4,Typ,0,NA,CarPort,1950,1,294,250,0,24,0,0,0,NA,NA,NA,0,9,2009,82000
90,RL,NA,8544,NA,3,4,1949,1950,340,TA,0,0,0,0,Fa,N,FuseA,1040,0,0,1040,0,0,2,0,2,2,TA,6,Typ,0,NA,Detchd,1949,2,400,0,0,0,0,0,0,NA,NA,NA,0,5,2006,87500
120,RL,63,8849,NA,9,5,2005,2005,616,Ex,28,0,1656,1684,Ex,Y,SBrkr,1684,0,0,1684,0,0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,2005,2,564,495,72,0,0,0,0,NA,NA,NA,0,7,2008,266000
160,RM,36,2592,NA,5,3,1976,1976,0,TA,129,232,175,536,TA,Y,SBrkr,536,576,0,1112,0,0,1,1,3,1,TA,4,Typ,0,NA,Attchd,1976,1,336,182,0,0,0,0,0,NA,NA,NA,0,4,2010,85000
50,RL,65,6435,NA,6,5,1939,1950,0,TA,0,0,972,972,Gd,Y,SBrkr,972,605,0,1577,0,0,1,0,3,1,Fa,6,Typ,1,Gd,Detchd,1939,1,312,0,0,0,0,0,0,NA,NA,NA,0,10,2006,140200
20,RL,NA,12772,NA,6,8,1960,1998,0,TA,498,0,460,958,TA,Y,SBrkr,958,0,0,958,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1960,1,301,0,0,0,0,0,0,NA,NA,Gar2,15500,4,2007,151500
20,RL,NA,17600,NA,6,5,1960,1960,30,TA,1270,0,208,1478,Ex,Y,FuseA,1478,0,0,1478,1,0,2,0,3,1,TA,6,Typ,2,Gd,Attchd,1960,2,498,0,40,0,0,0,0,NA,NA,NA,0,12,2009,157500
160,RL,36,2448,NA,7,5,2003,2004,106,Gd,573,0,191,764,Ex,Y,SBrkr,764,862,0,1626,1,0,2,1,2,1,Gd,6,Typ,0,NA,BuiltIn,2003,2,474,0,27,0,0,0,0,NA,NA,NA,0,10,2008,154000
60,RL,56,20431,NA,9,5,2005,2006,870,Ex,1410,0,438,1848,Ex,Y,SBrkr,1848,880,0,2728,1,0,2,1,4,1,Ex,10,Typ,2,Ex,Attchd,2006,3,706,0,0,0,0,0,0,NA,NA,NA,0,4,2006,437154
120,RL,68,7820,NA,9,5,2007,2007,362,Ex,0,0,1869,1869,Ex,Y,SBrkr,1869,0,0,1869,0,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2007,2,617,210,54,0,0,0,0,NA,NA,NA,0,12,2007,318061
120,RL,NA,5271,NA,7,5,1986,1986,0,TA,1082,0,371,1453,Gd,Y,SBrkr,1453,0,0,1453,1,0,1,1,2,1,Gd,6,Typ,1,TA,Attchd,1986,2,445,0,80,0,0,184,0,NA,NA,NA,0,12,2006,190000
50,RL,60,9084,NA,5,6,1941,1950,0,TA,236,380,0,616,TA,N,SBrkr,616,495,0,1111,0,1,1,0,3,1,TA,5,Typ,0,NA,Detchd,1941,1,200,48,0,0,0,0,0,NA,NA,NA,0,3,2008,95000
30,RM,60,8520,NA,6,8,1928,2003,0,TA,0,0,624,624,Gd,Y,SBrkr,720,0,0,720,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,2005,2,484,106,0,0,0,0,0,NA,NA,NA,0,5,2010,105900
50,RL,60,8400,NA,6,5,1940,2000,0,TA,388,0,552,940,Ex,Y,SBrkr,1192,403,0,1595,0,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1940,1,240,0,0,108,0,0,0,NA,NA,NA,0,6,2006,140000
20,RL,105,11249,NA,6,5,1995,1995,0,Gd,334,544,322,1200,Ex,Y,SBrkr,1200,0,0,1200,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1995,2,521,0,26,0,0,0,0,NA,NA,NA,0,8,2007,177500
20,RL,NA,9248,NA,6,6,1992,1992,106,TA,560,0,598,1158,Gd,Y,SBrkr,1167,0,0,1167,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1992,2,400,120,26,0,0,0,0,NA,NA,NA,0,7,2009,173000
120,RM,44,4224,NA,5,5,1976,1976,0,TA,874,0,268,1142,TA,Y,SBrkr,1142,0,0,1142,1,0,1,1,3,1,TA,6,Typ,1,Po,Attchd,1976,2,528,536,90,0,0,0,0,NA,MnPrv,NA,0,8,2007,134000
80,RL,92,6930,NA,5,4,1958,1958,120,TA,300,294,468,1062,Ex,Y,FuseF,1352,0,0,1352,0,1,1,0,3,1,Gd,6,Min2,0,NA,BuiltIn,1958,1,288,168,0,294,0,0,0,NA,NA,NA,0,7,2006,130000
60,RL,78,12011,NA,8,5,1998,1998,530,Gd,956,0,130,1086,Ex,Y,SBrkr,1086,838,0,1924,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1998,2,592,208,75,0,0,374,0,NA,NA,NA,0,6,2006,280000
85,RL,NA,7540,NA,6,6,1978,1978,0,TA,773,0,115,888,Ex,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1978,2,470,0,0,0,0,192,0,NA,MnPrv,NA,0,6,2007,156000
50,RL,NA,9144,Pave,5,5,1940,1982,0,TA,399,0,484,883,Gd,Y,SBrkr,988,517,0,1505,1,0,1,0,3,1,TA,8,Typ,0,NA,Detchd,1940,1,240,0,0,0,0,0,0,NA,NA,NA,0,7,2008,145000
85,RL,64,7301,NA,7,5,2003,2003,500,Gd,0,0,0,0,Ex,Y,SBrkr,495,1427,0,1922,0,0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003,2,672,0,0,177,0,0,0,NA,NA,NA,0,7,2009,198500
160,RM,21,1680,NA,6,8,1972,2007,510,TA,162,0,321,483,Gd,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,Gd,5,Typ,0,NA,Detchd,1972,1,264,250,0,0,0,0,0,NA,NA,NA,0,5,2009,118000
60,RL,NA,18800,NA,6,5,1976,1976,120,TA,712,0,84,796,TA,Y,SBrkr,790,784,0,1574,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1976,2,566,306,111,0,0,0,0,NA,NA,NA,0,7,2006,190000
70,RM,59,10690,NA,5,7,1920,1997,0,TA,456,0,216,672,Gd,Y,FuseA,672,672,0,1344,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1964,1,468,0,128,218,0,0,0,NA,NA,NA,0,7,2009,147000
20,RL,NA,9500,NA,6,5,1963,1963,247,TA,609,0,785,1394,Gd,Y,SBrkr,1394,0,0,1394,1,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963,2,514,0,76,0,0,185,0,NA,NA,NA,0,7,2009,159000
80,RL,101,9150,NA,6,5,1962,1962,305,TA,371,0,728,1099,Gd,Y,SBrkr,1431,0,0,1431,0,1,1,0,3,1,TA,6,Typ,1,Gd,Basment,1962,1,296,64,110,0,0,0,0,NA,NA,NA,0,12,2008,165000
20,RL,78,7800,NA,5,6,1954,1954,200,TA,540,0,728,1268,Gd,Y,SBrkr,1268,0,0,1268,0,0,1,0,2,1,TA,7,Typ,1,Gd,Attchd,1954,1,244,0,98,0,0,0,0,NA,NA,NA,0,3,2010,132000
20,RL,NA,9830,NA,5,7,1959,2006,0,TA,72,258,733,1063,Ex,Y,SBrkr,1287,0,0,1287,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1997,2,576,364,17,0,0,182,0,NA,NA,NA,0,3,2010,162000
60,RL,NA,8121,NA,6,5,2000,2000,0,TA,0,0,953,953,Ex,Y,SBrkr,953,711,0,1664,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000,2,460,100,40,0,0,0,0,NA,NA,NA,0,1,2006,172400
50,RL,80,17120,NA,4,4,1959,1959,0,TA,0,0,0,0,TA,Y,SBrkr,1120,468,0,1588,0,0,2,0,4,1,TA,7,Min2,1,Gd,Detchd,1991,2,680,0,59,0,0,0,0,NA,NA,NA,0,7,2008,134432
120,RL,50,7175,NA,6,5,1984,1984,0,TA,623,121,0,744,TA,Y,SBrkr,752,0,0,752,1,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1984,1,264,353,0,0,0,90,0,NA,MnPrv,NA,0,2,2010,125000
20,RL,79,10634,NA,5,6,1953,1953,0,TA,428,180,0,608,TA,Y,SBrkr,1319,0,0,1319,1,0,1,0,3,1,TA,5,Min2,0,NA,Attchd,1953,1,270,66,0,0,0,0,0,NA,GdWo,NA,0,11,2009,123000
60,RL,65,8200,NA,7,5,2003,2004,0,Gd,0,0,847,847,Ex,Y,SBrkr,847,1081,0,1928,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2003,2,434,100,48,0,0,0,0,NA,NA,NA,0,7,2007,219500
30,RL,NA,10020,NA,1,1,1922,1950,0,Fa,350,0,333,683,Gd,N,FuseA,904,0,0,904,1,0,0,1,1,1,Fa,4,Maj1,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,3,2009,61000
85,RL,57,8846,NA,5,5,1996,1996,0,Gd,298,0,572,870,Ex,Y,SBrkr,914,0,0,914,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1998,2,576,0,0,0,0,0,0,NA,NA,NA,0,7,2006,148000
60,FV,102,11143,NA,8,5,2004,2005,0,Gd,0,0,1580,1580,Ex,Y,SBrkr,1580,886,0,2466,0,0,3,0,4,1,Gd,8,Typ,1,Gd,Attchd,2004,2,610,159,214,0,0,0,0,NA,NA,NA,0,12,2007,340000
20,RL,88,11394,NA,9,2,2010,2010,350,Gd,1445,0,411,1856,Ex,Y,SBrkr,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010,3,834,113,0,0,0,0,0,NA,NA,NA,0,6,2010,394432
60,RL,60,8123,NA,6,5,2000,2000,16,TA,0,0,982,982,Ex,Y,SBrkr,1007,793,0,1800,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000,2,463,100,63,0,0,0,0,NA,NA,NA,0,6,2009,179000
50,RL,50,5000,Pave,5,6,1924,1950,0,TA,218,0,808,1026,TA,Y,SBrkr,1026,665,0,1691,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Detchd,1924,1,308,0,0,242,0,0,0,NA,NA,NA,0,5,2010,127000
20,FV,60,7200,Pave,7,5,2006,2006,0,Gd,0,0,1293,1293,Ex,Y,SBrkr,1301,0,0,1301,1,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2006,2,572,216,121,0,0,0,0,NA,NA,NA,0,8,2006,187750
60,RL,79,9245,NA,7,5,2006,2006,0,Gd,0,0,939,939,Ex,Y,SBrkr,939,858,0,1797,0,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2006,2,639,144,53,0,0,0,0,NA,NA,NA,0,4,2007,213500
45,RH,60,9000,NA,6,3,1928,1950,0,TA,0,0,784,784,TA,N,FuseA,784,0,0,784,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1950,2,360,0,0,91,0,0,0,NA,NA,NA,0,10,2009,76000
60,RL,NA,53107,NA,6,5,1992,1992,0,Gd,985,0,595,1580,Ex,Y,SBrkr,1079,874,0,1953,1,0,2,1,3,1,Gd,9,Typ,2,Fa,Attchd,1992,2,501,216,231,0,0,0,0,NA,NA,NA,0,6,2007,240000
120,RL,43,3182,NA,8,5,2004,2005,16,Gd,24,0,1232,1256,Ex,Y,SBrkr,1269,0,0,1269,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004,2,430,146,20,0,0,144,0,NA,NA,NA,0,4,2010,192000
50,RL,58,8410,NA,5,3,1910,1996,0,TA,0,0,658,658,TA,Y,SBrkr,658,526,0,1184,0,0,1,0,5,1,TA,8,Typ,0,NA,NA,NA,0,0,0,151,0,0,0,0,NA,NA,NA,0,5,2006,81000
80,RL,72,7200,NA,6,6,1976,1976,255,TA,631,0,410,1041,Ex,Y,SBrkr,1125,0,0,1125,1,0,1,0,3,1,TA,6,Typ,1,Fa,Detchd,1977,1,352,296,0,0,0,0,0,NA,GdWo,NA,0,10,2009,125000
20,RL,93,9382,NA,7,5,1999,2000,125,Gd,0,0,1468,1468,Ex,Y,SBrkr,1479,0,0,1479,0,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1999,2,577,120,25,0,0,0,0,NA,NA,NA,0,7,2008,191000
60,RL,96,12474,NA,10,5,2007,2008,272,Ex,1280,0,402,1682,Ex,Y,SBrkr,1742,590,0,2332,1,0,2,1,3,1,Ex,9,Typ,1,Ex,BuiltIn,2008,3,846,196,134,0,0,0,0,NA,NA,NA,0,8,2008,426000
50,RL,50,8405,Grvl,5,8,1900,1950,0,TA,241,391,229,861,Ex,Y,SBrkr,961,406,0,1367,1,0,1,0,4,1,TA,7,Typ,0,NA,Detchd,1978,1,384,0,130,112,0,0,0,NA,MnPrv,NA,0,4,2008,119000
60,RL,71,12209,NA,6,5,2001,2002,0,TA,690,0,114,804,Ex,Y,SBrkr,804,1157,0,1961,1,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001,2,560,125,192,0,0,0,0,NA,NA,NA,0,6,2009,215000
